playerId,n_total,n_history,n_future,reputation,history_toxic_rate,future_toxic_rate,future_toxic_rate_binary
Herp of us,11,7,4,0.4417335602167374,0.14285714285714285,0.75,1
Hezbollah,12,8,4,0.6054145887131798,0.25,0.25,1
Higher neck problems,12,8,4,0.4695199091532254,0.625,0.25,1
HuNTeR,12,8,4,0.38820750103420143,0.5,0.25,1
HullCity07,14,9,5,0.46382614088289714,0.4444444444444444,0.4,1
Hurricane,10,7,3,0.739957787044557,0.0,0.0,0
Hustlehard Harold,13,9,4,0.6661289276755427,0.1111111111111111,0.0,0
Hydrocarbon,10,7,3,0.4677071544204218,0.2857142857142857,0.0,0
I Aint Noob,13,9,4,0.6715874150338039,0.1111111111111111,0.0,0
I WILL ONLY SAFELANE,10,7,3,0.4706034160711689,0.2857142857142857,0.3333333333333333,1
I am a lion,18,12,6,0.4549833461034703,0.5833333333333334,0.8333333333333334,1
I r v i n g,13,9,4,0.6240358440535838,0.0,0.5,1
I throw so you uninstall,12,8,4,0.633035146511241,0.0,0.0,0
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIII,12,8,4,0.42897237869604615,0.5,0.5,1
ILoveyoucid,13,9,4,0.5616810259339705,0.2222222222222222,0.5,1
INVOKER OR FEED ./.,49,34,15,0.560989173748868,0.20588235294117646,0.13333333333333333,1
Ign33L.火竜,22,15,7,0.6690724032076176,0.13333333333333333,0.2857142857142857,1
Igorotak,10,7,3,0.7240928092358144,0.0,0.0,0
Ilerion Juivq 悪魔,16,11,5,0.6553460795476637,0.09090909090909091,0.0,0
Im  good but my team is so  bad,17,11,6,0.6388607653908186,0.18181818181818182,0.16666666666666666,1
ImSoGooD!WTF,17,11,6,0.4133456228080768,0.5454545454545454,0.6666666666666666,1
Ingwat,10,7,3,0.4407470471399028,0.42857142857142855,1.0,1
Inori Yuzuriha,20,14,6,0.5015113839811766,0.2857142857142857,0.0,0
Insane,10,7,3,0.4470012936150612,0.42857142857142855,0.6666666666666666,1
Ishamael,10,7,3,0.449191092120274,0.5714285714285714,0.0,0
I§rGks,13,9,4,0.7019019402315764,0.1111111111111111,0.0,0
J.,14,9,5,0.6462659796234717,0.1111111111111111,0.2,1
JBiddZ_,17,11,6,0.6608143792523854,0.0,0.0,0
JOHN CENA!,10,7,3,0.6961525500479585,0.0,0.0,0
JOHN WICK,11,7,4,0.6747401091859367,0.14285714285714285,0.0,0
JR - Ddaji,14,9,5,0.6409151705808782,0.0,0.4,1
J__A__D__E,12,8,4,0.6545061349019032,0.125,0.5,1
Jassy,20,14,6,0.611658541653467,0.2857142857142857,0.16666666666666666,1
Jesus,23,16,7,0.6670927849757775,0.125,0.2857142857142857,1
Jin han,12,8,4,0.6345238578130828,0.125,0.5,1
JinJo,24,16,8,0.6340548043715882,0.125,0.25,1
Jiten,25,17,8,0.7420165020253506,0.0,0.0,0
Johnny Ramone,17,11,6,0.6563413552032243,0.09090909090909091,1.0,1
Jon,18,12,6,0.6490221132215077,0.08333333333333333,0.3333333333333333,1
Jr,11,7,4,0.6558928046302299,0.0,0.5,1
Junny The Barbarian,32,22,10,0.6628469680821908,0.18181818181818182,0.3,1
K e N,22,15,7,0.6066350976022262,0.13333333333333333,0.0,0
KAIST.Shadows,22,15,7,0.6834868398413821,0.06666666666666667,0.14285714285714285,1
KIMOKI,13,9,4,0.26046632394108443,0.7777777777777778,0.25,1
KINGPANDA,11,7,4,0.7157210843270757,0.0,0.25,1
KP55,13,9,4,0.6878231047167452,0.1111111111111111,0.5,1
KYUUUU,10,7,3,0.6619112928200409,0.14285714285714285,0.0,0
Kappa,13,9,4,0.5660121675692658,0.3333333333333333,0.25,1
Keep Crying Bruh,14,9,5,0.6697581704068953,0.0,0.4,1
KeepAwake,31,21,10,0.6750953747791695,0.0,0.1,1
Keepo,21,14,7,0.4998045399856897,0.42857142857142855,0.8571428571428571,1
Kero,11,7,4,0.6168064057599778,0.14285714285714285,0.25,1
Kevin Durant's Mother,12,8,4,0.6841229512296613,0.0,0.0,0
KidDad,12,8,4,0.4127096670681119,0.5,0.25,1
KingTacks,19,13,6,0.5360917695886652,0.23076923076923078,0.3333333333333333,1
Kings ./.,21,14,7,0.6931281274680411,0.07142857142857142,0.0,0
Klaus,15,10,5,0.7412001532510987,0.0,0.0,0
KutTaoLang,12,8,4,0.6650157601343325,0.0,0.0,0
KvargmeisteR^,13,9,4,0.5460499500937831,0.1111111111111111,0.5,1
"Kyte "")",15,10,5,0.6025276937236747,0.1,0.0,0
L-E-N-G ♛,13,9,4,0.34407156704251707,0.7777777777777778,0.25,1
LADLAD NA JOM GANG,14,9,5,0.6130274195969958,0.2222222222222222,0.0,0
LQD.Sail,37,25,12,0.66792685611238,0.08,0.0,0
L_agger eu,15,10,5,0.7481825547381689,0.0,0.0,0
League of Legends,33,23,10,0.6569595601920053,0.30434782608695654,0.2,1
Lel,10,7,3,0.6683747772246748,0.14285714285714285,0.3333333333333333,1
Lemmon ツ,19,13,6,0.5905626135897437,0.23076923076923078,0.3333333333333333,1
Leogira,10,7,3,0.5673978209813698,0.42857142857142855,0.0,0
Life sux,10,7,3,0.5610064880003852,0.2857142857142857,0.6666666666666666,1
Little Oak,21,14,7,0.5306030742770397,0.21428571428571427,0.42857142857142855,1
Live and let me,18,12,6,0.6238142324216542,0.16666666666666666,0.0,0
LoKaL,11,7,4,0.7404479491407899,0.0,0.0,0
LocK~♥~,21,14,7,0.4805568391086168,0.5714285714285714,0.42857142857142855,1
Logic,17,11,6,0.5738976084548634,0.2727272727272727,0.0,0
Louis Litt,18,12,6,0.5248790861635145,0.25,0.3333333333333333,1
Louweak,12,8,4,0.6528991459778068,0.125,0.0,0
LuAsuraCiel,12,8,4,0.6681737088334859,0.125,0.0,0
Luca Pacioli,13,9,4,0.3207542511675996,0.6666666666666666,0.25,1
Lucifer,12,8,4,0.5471614575723509,0.375,0.25,1
Lvrry,10,7,3,0.38982152000563614,0.7142857142857143,0.0,0
Lycan,16,11,5,0.7228516915901471,0.0,0.0,0
Lặng Lẽ Tổn Thương,10,7,3,0.5083957039523684,0.2857142857142857,0.0,0
MC sanityy,10,7,3,0.6355032275502202,0.14285714285714285,0.0,0
MID LANE SLAYER,10,7,3,0.523376863941346,0.2857142857142857,0.6666666666666666,1
MOAZ EL 7LO,14,9,5,0.556467402766872,0.2222222222222222,0.2,1
MR.{FRUITES},14,9,5,0.5940795946638541,0.1111111111111111,0.2,1
MUSTANG,18,12,6,0.5349588030908892,0.25,0.0,0
Maff,10,7,3,0.5498720369089577,0.42857142857142855,0.3333333333333333,1
Marselagin,10,7,3,0.6656588368788153,0.14285714285714285,0.3333333333333333,1
Master Mind Gaming,16,11,5,0.515063196987194,0.45454545454545453,0.4,1
Master Mirror,14,9,5,0.6831145952340435,0.0,0.0,0
Maximize game impact,10,7,3,0.350464286715699,0.7142857142857143,1.0,1
Mayhem,10,7,3,0.6566725821902479,0.14285714285714285,0.0,0
Meaglin,12,8,4,0.6650164795623329,0.0,0.25,1
Mikasa,16,11,5,0.6305725299704137,0.2727272727272727,0.8,1
Milana.,12,8,4,0.47065071012628507,0.25,0.5,1
MilkMan,13,9,4,0.6315898458748028,0.2222222222222222,0.25,1
Mineski FAN GAY,18,12,6,0.5852878759294005,0.16666666666666666,0.5,1
Mio,17,11,6,0.46663907652213327,0.2727272727272727,0.16666666666666666,1
Miracle,12,8,4,0.7219735266389534,0.0,0.0,0
Mirakuru,21,14,7,0.716140780055158,0.07142857142857142,0.14285714285714285,1
Misa,12,8,4,0.6394245674683829,0.125,0.0,0
Mok must die,12,8,4,0.3425573047577157,0.75,0.75,1
Moltres,12,8,4,0.6497634941012329,0.125,0.25,1
Monkey D. Luffy,12,8,4,0.6694553018837403,0.125,0.0,0
Monster,16,11,5,0.5704746639506546,0.18181818181818182,0.0,0
MowMow III,15,10,5,0.6105278670026308,0.0,0.0,0
Mr. Steal Your Waifu,11,7,4,0.6148844519876249,0.0,0.0,0
Mrboombastic,13,9,4,0.660052223475874,0.2222222222222222,0.5,1
Ms.A,10,7,3,0.6747144633567287,0.14285714285714285,0.3333333333333333,1
Ms.Assists MY,12,8,4,0.6489739194140187,0.125,0.25,1
My life for AUIR,20,14,6,0.5392156078221229,0.2857142857142857,0.16666666666666666,1
Mythic,16,11,5,0.6064173072295483,0.36363636363636365,0.0,0
N!M|1337-,13,9,4,0.5160003046711565,0.2222222222222222,0.5,1
N00B13McN00B,22,15,7,0.6560424388379669,0.06666666666666667,0.0,0
NB,22,15,7,0.646462839440072,0.13333333333333333,0.2857142857142857,1
NEGA WHUT?,31,21,10,0.3470428569230315,0.6666666666666666,0.8,1
NEVER Trust Your Team,13,9,4,0.6070791964316504,0.0,0.0,0
NY,11,7,4,0.7003146941419796,0.0,0.25,1
Name,13,9,4,0.6355233113955993,0.1111111111111111,0.0,0
Natani,10,7,3,0.6730384877019105,0.0,0.3333333333333333,1
Niggasaurus Shrek,14,9,5,0.6360494070110521,0.1111111111111111,0.0,0
Nijbu,17,11,6,0.688893118887641,0.0,0.0,0
Ninja Boo,18,12,6,0.6735541046854113,0.08333333333333333,0.16666666666666666,1
Noob Always Pick Carry,12,8,4,0.6544578775427835,0.0,0.0,0
Noob Spirit,21,14,7,0.751607637534007,0.0,0.14285714285714285,1
NothingElse,14,9,5,0.6630725293885389,0.1111111111111111,0.2,1
November's Chopin,13,9,4,0.646900230638567,0.2222222222222222,0.0,0
Nugget,11,7,4,0.525940749727543,0.2857142857142857,0.0,0
Nuo-|,17,11,6,0.594163500059169,0.2727272727272727,0.16666666666666666,1
OMG! U still believe in LOVE???,12,8,4,0.6406276052504479,0.0,0.25,1
Ob3k1,11,7,4,0.5493919782478097,0.42857142857142855,0.0,0
Ohhh Yeah?,12,8,4,0.5472392385733196,0.375,0.25,1
Ol' Dirty Bastard,17,11,6,0.6173858293542399,0.18181818181818182,0.0,0
Onion Devourer (OD),10,7,3,0.6266749157909396,0.14285714285714285,0.6666666666666666,1
Onions123,11,7,4,0.6446852708374347,0.0,0.0,0
OrangeBasket,32,22,10,0.5710390784562305,0.18181818181818182,0.1,1
Otaku boy 16,10,7,3,0.5903546749855569,0.2857142857142857,0.0,0
PENISS,10,7,3,0.6404832892032081,0.0,0.0,0
PICK STUNS,12,8,4,0.3958631068084799,0.5,0.5,1
PJSalt,14,9,5,0.6182909853131315,0.1111111111111111,0.2,1
POPEYE,15,10,5,0.7011933507274718,0.0,0.0,0
PUNX,26,18,8,0.5575771351129607,0.2222222222222222,0.125,1
Pablo Picasso,15,10,5,0.5302403406416791,0.4,0.0,0
Palimon,13,9,4,0.37253883767496787,0.6666666666666666,0.0,0
PaliosXimikos,10,7,3,0.6712484945652303,0.0,0.3333333333333333,1
Pandabindai_??`,13,9,4,0.23616176720676846,1.0,0.25,1
Papa_DotA,14,9,5,0.46724879065699815,0.2222222222222222,0.2,1
Papet.Ĝ҉Ǻ҉Ӎ҉Ế҉Ʀ,10,7,3,0.736985160178387,0.0,0.3333333333333333,1
Paradox-|X,17,11,6,0.7171267646620831,0.09090909090909091,0.0,0
PavlodarSkyi,17,11,6,0.65523111203809,0.0,0.0,0
PercepT,12,8,4,0.5138241310203043,0.5,0.25,1
Persephone,11,7,4,0.5682569534658793,0.0,0.0,0
Peruanos = maricones,19,13,6,0.29429281513339794,0.8461538461538461,0.8333333333333334,1
PhantomX8,24,16,8,0.6372968959577768,0.125,0.0,0
Pineapple KAMIKAZE,38,26,12,0.6390313820316316,0.15384615384615385,0.25,1
Pink Ranger,10,7,3,0.5987755523721116,0.14285714285714285,0.0,0
Pinoy^^,15,10,5,0.6984328821214548,0.0,0.0,0
Polister |MD|,10,7,3,0.7248942605557784,0.0,0.3333333333333333,1
Potato_Chip,20,14,6,0.6785687830409083,0.0,0.16666666666666666,1
PriNcE`,10,7,3,0.7418924123048342,0.0,0.0,0
Prince Ali,11,7,4,0.609624505064263,0.0,0.25,1
Prince of Excrement,12,8,4,0.4860191885307435,0.25,0.25,1
Private Ryan,10,7,3,0.6477618910059136,0.0,0.0,0
Professor,14,9,5,0.5495645865260032,0.3333333333333333,0.6,1
Psycho,37,25,12,0.4126093864580002,0.56,0.4166666666666667,1
PuffyWiggles,15,10,5,0.6183943607458994,0.0,0.2,1
Pump It!,14,9,5,0.6615201644386896,0.1111111111111111,0.2,1
Q u i c k C a s  t,12,8,4,0.534659214052949,0.25,0.5,1
R.oUcHtA  ^.........^,21,14,7,0.56391694701502,0.2857142857142857,0.0,0
R2D2,12,8,4,0.7207929083315001,0.0,0.0,0
RAMBO,10,7,3,0.618535513797855,0.14285714285714285,0.0,0
RAMPAGE.BABY,13,9,4,0.4308442121837097,0.4444444444444444,0.25,1
RED,11,7,4,0.4008368751196034,0.42857142857142855,0.25,1
RENEGADE,12,8,4,0.6946233951592856,0.0,0.5,1
Rawdog,11,7,4,0.5904641985784506,0.0,0.25,1
Rayzden,10,7,3,0.5680886826539261,0.2857142857142857,0.0,0
Reckful,11,7,4,0.6480791159739802,0.14285714285714285,0.0,0
Red Vex,10,7,3,0.5669691378265904,0.0,0.0,0
Rick,17,11,6,0.6435365737986802,0.18181818181818182,0.0,0
Rigby,13,9,4,0.6320534547365916,0.0,0.25,1
Rinse n Repeat,16,11,5,0.6862938663064356,0.0,0.2,1
Road To 0K,12,8,4,0.505143914566501,0.375,0.0,0
Road To 1k MMR Bitches!!!!,10,7,3,0.6648564774450998,0.0,0.0,0
Road to 4k,10,7,3,0.7021280173778821,0.0,0.3333333333333333,1
Ruleral,10,7,3,0.4267697418044826,0.2857142857142857,0.3333333333333333,1
Running through the 6th,10,7,3,0.7119482302034623,0.0,0.0,0
R~,23,16,7,0.6536266622523295,0.0625,0.0,0
S.H.I.E.L.D,23,16,7,0.45578172012991247,0.25,0.14285714285714285,1
S.H.K <3,10,7,3,0.6664608608259398,0.14285714285714285,0.3333333333333333,1
SANTEEE,15,10,5,0.34327995379147547,0.6,0.6,1
SAPR0LING,12,8,4,0.6489553433321276,0.25,0.0,0
SCOURGE,21,14,7,0.759876772558682,0.0,0.0,0
SC[A]GS,14,9,5,0.648498723800832,0.0,0.2,1
SEA.Doto.Best.Doto,10,7,3,0.6371183484722172,0.14285714285714285,0.0,0
SSR,16,11,5,0.6589380071651276,0.09090909090909091,0.2,1
STILL HAPPY HOPE TO DIE,10,7,3,0.36099939656995567,0.7142857142857143,1.0,1
Saitama,14,9,5,0.5799560515066066,0.4444444444444444,0.8,1
Salty Sailor,11,7,4,0.3043954605403374,0.8571428571428571,0.75,1
Salzkruste,19,13,6,0.6720654896839152,0.0,0.16666666666666666,1
Saucey,13,9,4,0.5909052751438268,0.2222222222222222,0.5,1
Scept_R,10,7,3,0.5690705522790119,0.2857142857142857,0.3333333333333333,1
SeNpAi_2StOnE,11,7,4,0.44911314182873663,0.2857142857142857,0.0,0
Seatech,12,8,4,0.7066050067698193,0.125,0.5,1
Secret.FUCK,16,11,5,0.4303900173353749,0.36363636363636365,0.0,0
Sensei,12,8,4,0.6262196040518125,0.125,0.0,0
Seventh Horseman,13,9,4,0.7348524117204597,0.0,0.0,0
Shadow Link,10,7,3,0.5543090101694889,0.2857142857142857,0.0,0
Shigure,18,12,6,0.6657105031532193,0.0,0.0,0
Shinichi Saitama,13,9,4,0.6376819830779573,0.2222222222222222,0.0,0
Shiro Shinigami,10,7,3,0.7018680230838817,0.0,0.3333333333333333,1
Silly Me,14,9,5,0.5862812190622749,0.1111111111111111,0.0,0
Silverly,14,9,5,0.6291632555545922,0.3333333333333333,0.0,0
Sinio_Rito,10,7,3,0.7525914619667345,0.0,0.0,0
Sir Pudgealot,15,10,5,0.697452850936937,0.1,0.2,1
Skayl,13,9,4,0.49480392583862176,0.3333333333333333,0.5,1
Skiller,12,8,4,0.630186871600335,0.25,0.25,1
Sleeping_[D]og,10,7,3,0.4159274226261013,0.5714285714285714,0.3333333333333333,1
Sleepy Hollow,15,10,5,0.5450369015839384,0.3,0.4,1
Slim.Shady ツ,13,9,4,0.4510133691893179,0.4444444444444444,1.0,1
Smegma,10,7,3,0.5383118572156779,0.14285714285714285,0.0,0
Smoove-,24,16,8,0.7252352995419115,0.0,0.0,0
Snipe Desu~,35,24,11,0.6792117051210862,0.08333333333333333,0.18181818181818182,1
Snugglelump,10,7,3,0.3658257521936261,0.8571428571428571,1.0,1
Solo Rank Warrior,11,7,4,0.6951448928509799,0.0,0.25,1
Sora,16,11,5,0.5627698801285844,0.45454545454545453,0.0,0
Sparkyy,17,11,6,0.46903979068788926,0.36363636363636365,0.16666666666666666,1
